370711,10 8 7 7
370723,8 2 0
359088,6 2 0 3
372421,9 10 6
332067,
370760,0
357967,2 1 8 10
320066,8 9 10 6
370823,2 5 4 10
370826,7 8 6
370981,1 1 0 0
332475,1 8 10 1
371008,7 10
359681,
371015,10 7 5 8
332197,7 1 8 10
372886,
332201,1
371042,
371046,3 10
360976,
371052,
359713,10 9 7
372263,1 8 2 7
372901,7 4 8 9
372910,3 8 0 2
361013,
371126,8 0
372921,2 8 8
332237,1 0 0
332708,8 8
332264,
359766,9 1 0
371150,4 0 0
359790,
371164,10 3 10 0
373015,1 7 10
373224,1 8 0 0
371286,2 7 8 2
371287,5 8 0 8
371289,
371296,2 8 10 7
373268,1 2 8 9
332389,8 2 2
361231,8 0 0
371350,8 1 1 8
371303,10 6 8 2
373297,8 7 0
351756,1 8
345408,
320506,9 8 10 0
361261,5 1 4 0
373308,1 7 0 0
371570,8 1 8 0
371580,10 8 10 10
347219,
360353,10 8 0 3
371603,2 5 0
373344,4 1 8 7
373347,5 1 5 7
371629,1 1 8 0
361237,
371632,
373363,2 10 10
371638,1 7 0 0
371677,
373387,4 8 0
373390,4 2 10 10
371762,8 10 0